conflictid,dyadid,org,sideaname,sideaid,sideacomponents,sidebname,sidebid,sidebcomponents,startdate,startprec,startdate2,startprec2,epend,ependdate,ependprec,year,fatbest,fatlow,fathigh,location,gwnoloc,region,version
4564,5174,1,1920 Revolution Brigades,783,,IS,234,,2007-02-09,1,2007-12-07,1,1,2007-12-07,1,2007,25,25,25,Iraq,645,2,17.1
4565,5175,3,Abgal clan (Hawiye),1028,,Xawaadle clan (Hawiye),891,,2008-01-09,1,2008-09-12,2,1,2008-12-26,2,2008,31,31,55,Somalia,520,4,17.1
4566,5176,3,Abudu ,570,,Andani,892,,2002-03-27,2,2002-03-27,2,1,2002-03-27,2,2002,36,25,40,Ghana,452,4,17.1
4567,5177,2,Supporters of ACN,893,,Supporters of PDP,668,,2008-01-14,1,2008-03-21,1,1,2008-04-22,1,2008,33,33,33,Nigeria,475,4,17.1
4567,5177,2,Supporters of ACN,893,,Supporters of PDP,668,,2008-01-14,1,2011-10-17,1,1,2011-10-17,1,2011,26,26,46,Nigeria,475,4,17.1
4568,5178,2,Supporters of AD,571,,Supporters of PDP,668,,2003-03-12,2,2003-05-15,2,1,2003-07-11,1,2003,29,29,36,Nigeria,475,4,17.1
4569,5179,3,Afar,572,,Kereyou  ,635,,2002-06-30,3,2002-12-31,3,0,,,2002,29,29,29,Ethiopia,530,4,17.1
4569,5179,3,Afar,572,,Kereyou  ,635,,2002-06-30,3,2002-12-31,3,1,2003-01-31,3,2003,40,40,40,Ethiopia,530,4,17.1
4570,5180,3,Afar,572,,Issa,624,,2000-05-01,1,2002-04-17,1,1,2002-12-10,3,2002,75,75,248,Ethiopia,530,4,17.1
4571,5181,3,Abtisame subclan of Galje'el clan (Hawiye),569,,Afi subclan of Galje'el clan (Hawiye),573,,2001-08-27,2,2004-02-04,1,1,2004-02-04,1,2004,26,26,30,Somalia,520,4,17.1
4572,5182,3,Agon-Yar subclan of Abgal clan (Hawiye),575,,Warsangeli subclan of Abgal clan (Hawiye),699,,1999-10-15,1,2002-05-31,1,1,2002-11-20,1,2002,94,82,94,Somalia,520,4,17.1
4573,5183,1,Ahlu Sunna Waljamaca,894,,Al-Shabaab,717,,2008-12-02,1,2008-12-27,1,0,,,2008,64,54,66,Somalia,520,4,17.1
4573,5183,1,Ahlu Sunna Waljamaca,894,,Al-Shabaab,717,,2008-12-02,1,2008-12-27,1,0,,,2009,548,500,633,Somalia,520,4,17.1
4573,5183,1,Ahlu Sunna Waljamaca,894,,Al-Shabaab,717,,2008-12-02,1,2008-12-27,1,1,2010-12-05,1,2010,202,196,223,Somalia,520,4,17.1
4574,5184,3,Ali-Gaf subclan of Abgal clan (Hawiye) ,576,,Mahadade subclan of Abgal clan (Hawiye) ,642,,2002-08-18,2,2002-08-20,1,1,2002-08-23,2,2002,37,37,37,Somalia,520,4,17.1
4575,5185,3,Alur,577,,Lendu,638,,2002-01-31,3,2002-01-31,3,1,2002-01-31,3,2002,50,50,74,DR Congo (Zaire),490,4,17.1
4576,5186,3,Amaro,578,,Guji,613,,2006-10-16,2,2006-10-16,2,1,2006-10-16,2,2006,30,30,30,Ethiopia,530,4,17.1
4578,5188,2,Supporters of ANPP,580,,Supporters of PDP,668,,1998-10-31,3,2003-04-12,1,0,,,2003,66,66,82,Nigeria,475,4,17.1
4578,5188,2,Supporters of ANPP,580,,Supporters of PDP,668,,1998-10-31,3,2003-04-12,1,1,2004-05-28,1,2004,439,439,458,Nigeria,475,4,17.1
4579,5189,1,Ansaar ul-Islam,398,,Lashkar-e-Islam,399,,2007-03-16,1,2007-05-30,1,0,,,2007,34,34,50,Pakistan,770,3,17.1
4579,5189,1,Ansaar ul-Islam,398,,Lashkar-e-Islam,399,,2007-03-16,1,2007-05-30,1,0,,,2008,88,88,177,Pakistan,770,3,17.1
4579,5189,1,Ansaar ul-Islam,398,,Lashkar-e-Islam,399,,2007-03-16,1,2007-05-30,1,1,2009-12-26,2,2009,48,48,48,Pakistan,770,3,17.1
4580,5190,1,Ansar al-Islam,233,,PUK,261,,2001-09-23,1,2002-07-08,1,0,,,2002,85,85,160,Iraq,645,2,17.1
4580,5190,1,Ansar al-Islam,233,,PUK,261,,2001-09-23,1,2002-07-08,1,0,,,2003,66,62,316,Iraq,645,2,17.1
4580,5190,1,Ansar al-Islam,233,,PUK,261,,2001-09-23,1,2002-07-08,1,1,2004-12-04,1,2004,126,117,165,Iraq,645,2,17.1
4581,5191,3,Anuak,581,,Dinka ,598,,2002-11-27,1,2002-11-27,1,1,2002-12-01,2,2002,41,41,41,Ethiopia,530,4,17.1
4582,5192,3,Anuak,581,,Nuer,660,,2002-07-07,1,2002-07-07,1,0,,,2002,101,101,106,Ethiopia,530,4,17.1
4582,5192,3,Anuak,581,,Nuer,660,,2002-07-07,1,2002-07-07,1,1,2003-12-14,2,2003,36,36,106,Ethiopia,530,4,17.1
4582,5192,3,Anuak,581,,Nuer,660,,2002-07-07,1,2016-04-24,2,-99,,,2016,28,28,64,Ethiopia,530,4,17.1
4583,5193,3,Agar Dinka,582,,Gok Dinka,583,,2006-07-18,3,2006-07-18,3,1,2006-07-18,3,2006,60,60,60,Sudan,625,4,17.1
4584,5194,1,ARPCT,584,,ARS/UIC,505,,2006-02-18,1,2006-02-21,1,1,2006-08-30,1,2006,562,532,636,Somalia,520,4,17.1
4585,5195,1,Arrow Boys,585,,LRA,488,,2003-09-28,2,2003-10-09,1,1,2003-12-16,1,2003,71,71,71,Uganda,500,4,17.1
4586,5196,1,AUC,771,,FARC,743,,1997-05-12,1,1997-10-29,3,0,,,1997,46,46,72,Colombia,100,5,17.1
4586,5196,1,AUC,771,,FARC,743,,1997-05-12,1,1997-10-29,3,0,,,1998,136,136,342,Colombia,100,5,17.1
4586,5196,1,AUC,771,,FARC,743,,1997-05-12,1,1997-10-29,3,0,,,1999,143,143,224,Colombia,100,5,17.1
4586,5196,1,AUC,771,,FARC,743,,1997-05-12,1,1997-10-29,3,0,,,2000,265,265,305,Colombia,100,5,17.1
4586,5196,1,AUC,771,,FARC,743,,1997-05-12,1,1997-10-29,3,0,,,2001,474,474,683,"Ecuador, Colombia","130, 100",5,17.1
4586,5196,1,AUC,771,,FARC,743,,1997-05-12,1,1997-10-29,3,0,,,2002,581,337,652,Colombia,100,5,17.1
4586,5196,1,AUC,771,,FARC,743,,1997-05-12,1,1997-10-29,3,0,,,2003,68,68,68,Colombia,100,5,17.1
4586,5196,1,AUC,771,,FARC,743,,1997-05-12,1,1997-10-29,3,0,,,2004,255,255,272,Colombia,100,5,17.1
4586,5196,1,AUC,771,,FARC,743,,1997-05-12,1,1997-10-29,3,1,2005-10-28,1,2005,190,190,199,Colombia,100,5,17.1
4587,5197,1,Bangadi Militia,895,,LRA,488,,2008-10-20,1,2008-10-20,1,1,2008-10-20,1,2008,27,27,36,DR Congo (Zaire),490,4,17.1
4588,5198,3,Bangesh,790,,Turi,791,,2008-04-08,1,2008-08-09,1,0,,,2008,449,449,570,Pakistan,770,3,17.1
4588,5198,3,Bangesh,790,,Turi,791,,2008-04-08,1,2008-08-09,1,1,2009-07-01,1,2009,115,115,115,Pakistan,770,3,17.1
4589,5199,3,Bena Kapuya,647,,Bena Nsimba,646,,2007-09-20,2,2007-09-22,2,1,2007-09-22,2,2007,25,25,25,DR Congo (Zaire),490,4,17.1
4590,5200,3,Bi'idyahan subclan of Majerteen clan (Darod),709,,Ismail subclan of Makahil clan (Darod),710,,2003-12-31,5,2003-12-31,5,1,2003-12-31,5,2003,280,280,280,Ethiopia,530,4,17.1
4591,5201,2,Supporters of Awami League,372,,Supporters of BNP,374,,1989-09-07,1,2001-08-26,5,1,2001-10-03,1,2001,56,51,68,Bangladesh,771,3,17.1
4592,5202,3,Bokora Karimojong,590,,Jie,633,,2003-01-12,1,2003-01-15,2,1,2003-05-22,1,2003,102,102,178,Uganda,500,4,17.1
4592,5202,3,Bokora Karimojong,590,,Jie,633,,2003-01-12,1,2007-03-30,1,1,2007-05-12,1,2007,34,34,34,Uganda,500,4,17.1
4593,5203,3,Bokora Karimojong,590,,Pian Karimojong,669,,2001-01-24,1,2003-01-12,1,1,2003-01-12,1,2003,30,30,30,Uganda,500,4,17.1
4593,5203,3,Bokora Karimojong,590,,Pian Karimojong,669,,2001-01-24,1,2005-09-19,1,1,2005-09-19,1,2005,28,28,28,Uganda,500,4,17.1
4594,5204,3,Bor Dinka,708,,Murle,655,,2007-07-31,3,2007-07-31,3,1,2007-11-30,5,2007,106,106,106,Sudan,625,4,17.1
4594,5204,3,Bor Dinka,708,,Murle,655,,2007-07-31,3,2011-12-05,1,0,,,2011,44,44,44,South Sudan,626,4,17.1
4594,5204,3,Bor Dinka,708,,Murle,655,,2007-07-31,3,2011-12-05,1,1,2012-12-28,1,2012,118,118,125,South Sudan,626,4,17.1
4595,5205,3,Borana,591,,Guji,613,,1991-07-31,5,2006-06-12,3,1,2006-06-12,3,2006,101,101,151,Ethiopia,530,4,17.1
4596,5206,3,Borana,591,,Konso,1039,,2007-10-03,1,2008-07-31,5,1,2008-07-31,5,2008,46,46,46,Ethiopia,530,4,17.1
4597,5207,3,Borana,591,,"Gabra, Garre",3807,"609, 1079",1992-01-20,3,1992-01-20,3,1,1992-06-30,2,1992,381,381,381,Ethiopia,530,4,17.1
4598,5208,3,Burji,592,,Guji,613,,2006-10-02,1,2006-10-02,1,1,2006-10-06,1,2006,37,37,37,Ethiopia,530,4,17.1
4599,5209,1,CNDD-FDD ,434,,Palipehutu-FNL,432,,2003-09-06,1,2003-10-18,1,0,,,2003,43,43,57,Burundi,516,4,17.1
4599,5209,1,CNDD-FDD ,434,,Palipehutu-FNL,432,,2003-09-06,1,2003-10-18,1,1,2004-11-11,1,2004,54,54,62,Burundi,516,4,17.1
4600,5210,1,CNDP,426,,PARECO,896,,2007-09-11,1,2008-04-28,3,1,2008-11-27,1,2008,60,60,160,DR Congo (Zaire),490,4,17.1
4601,5211,1,Comando Vermelho,772,,Terceiro Comando,781,,1993-06-19,1,1994-02-21,3,0,,,1994,28,28,28,Brazil,140,5,17.1
4601,5211,1,Comando Vermelho,772,,Terceiro Comando,781,,1993-06-19,1,1994-02-21,3,1,1995-12-10,2,1995,40,40,40,Brazil,140,5,17.1
4601,5211,1,Comando Vermelho,772,,Terceiro Comando,781,,1993-06-19,1,1997-12-12,1,1,1997-12-13,1,1997,29,29,29,Brazil,140,5,17.1
4601,5211,1,Comando Vermelho,772,,Terceiro Comando,781,,1993-06-19,1,2001-06-10,1,0,,,2001,74,74,74,Brazil,140,5,17.1
4601,5211,1,Comando Vermelho,772,,Terceiro Comando,781,,1993-06-19,1,2001-06-10,1,0,,,2002,48,48,52,Brazil,140,5,17.1
4601,5211,1,Comando Vermelho,772,,Terceiro Comando,781,,1993-06-19,1,2001-06-10,1,0,,,2003,35,41,41,Brazil,140,5,17.1
4601,5211,1,Comando Vermelho,772,,Terceiro Comando,781,,1993-06-19,1,2001-06-10,1,1,2004-07-04,2,2004,34,34,34,Brazil,140,5,17.1
4602,5212,1,CPN-M,258,,MJF,784,,2007-01-19,1,2007-03-21,1,1,2007-03-28,1,2007,30,30,33,Nepal,790,3,17.1
4603,5213,3,Dabare subclan of Digil clan (Digil-Mirifle),593,,Luway subclan of Mirifle clan (Digil-Mirifle),640,,2004-05-30,1,2004-08-15,1,1,2004-12-16,1,2004,47,47,87,Somalia,520,4,17.1
4604,5214,3,Darsalim,594,,Kibete,637,,2006-11-07,2,2006-11-07,2,1,2006-11-07,2,2006,140,140,300,Chad,483,4,17.1
4605,5215,3,Da'ud subclan of Abgal clan (Hawiye),595,,Warsangeli subclan of Abgal clan (Hawiye),699,,2004-01-21,1,2004-05-12,1,1,2004-09-22,1,2004,132,128,143,Somalia,520,4,17.1
4606,5216,3,Dawa,596,,Gura,614,,2003-12-06,3,2003-12-06,3,1,2003-12-06,3,2003,55,55,55,Ethiopia,530,4,17.1
4607,5217,3,Derashe,919,,Konso,1039,,2008-02-07,2,2008-02-07,2,1,2008-02-07,2,2008,33,33,33,Ethiopia,530,4,17.1
4608,5218,3,Didinga,707,,Toposa,692,,2007-05-05,1,2007-05-05,1,1,2007-05-05,1,2007,54,54,54,Sudan,625,4,17.1
4609,5219,3,Dir clan ,600,,Marehan subclan of Sede clan (Darod),644,,2004-02-21,2,2004-03-05,1,1,2004-03-20,2,2004,121,121,132,Somalia,520,4,17.1
4610,5220,3,Dir clan ,600,,Sa'ad subclan of Habar Gidir clan (Hawiye),680,,2002-01-13,1,2002-01-21,2,0,,,2002,65,55,70,Somalia,520,4,17.1
4610,5220,3,Dir clan ,600,,Sa'ad subclan of Habar Gidir clan (Hawiye),680,,2002-01-13,1,2002-01-21,2,1,2003-07-09,2,2003,43,43,43,Somalia,520,4,17.1
4611,5221,3,Dizi  ,601,,Suri,688,,1991-12-31,5,1991-12-31,5,1,1991-12-31,5,1991,91,91,91,Ethiopia,530,4,17.1
4611,5221,3,Dizi  ,601,,Suri,688,,1991-12-31,5,1993-12-31,5,1,1993-12-31,5,1993,62,62,62,Ethiopia,530,4,17.1
4611,5221,3,Dizi  ,601,,Suri,688,,1991-12-31,5,2002-11-17,5,1,2002-11-17,5,2002,35,35,35,Ethiopia,530,4,17.1
4612,5222,1,DKBA,785,,KNU,180,,1994-12-07,2,1996-02-27,1,1,1996-09-23,1,1996,66,66,93,"Myanmar (Burma), Thailand","775, 800",3,17.1
4612,5222,1,DKBA,785,,KNU,180,,1994-12-07,2,1998-03-26,1,1,1998-09-25,1,1998,86,86,96,Myanmar (Burma),775,3,17.1
4612,5222,1,DKBA,785,,KNU,180,,1994-12-07,2,2007-06-21,1,1,2007-12-18,1,2007,45,45,45,Myanmar (Burma),775,3,17.1
4613,5223,3,Nyangatom ,712,,Turkana,693,,1993-07-11,2,1993-07-11,2,1,1993-07-11,2,1993,157,157,157,Kenya,501,4,17.1
4613,5223,3,Nyangatom ,712,,Turkana,693,,1993-07-11,2,2006-12-31,5,1,2006-12-31,5,2006,31,31,31,Ethiopia,530,4,17.1
4614,5224,3,Duduble subclan of Gorgorte clan (Hawiye),602,,Suleiman subclan of Habar Gidir clan (Hawiye),687,,1998-12-24,1,2004-03-05,2,1,2004-03-05,2,2004,47,47,47,Somalia,520,4,17.1
4614,5224,3,Duduble subclan of Gorgorte clan (Hawiye),602,,Suleiman subclan of Habar Gidir clan (Hawiye),687,,1998-12-24,1,2012-12-01,1,1,2012-12-01,1,2012,38,30,38,Somalia,520,4,17.1
4615,5225,1,FAPC,603,,FNI,606,,2004-07-07,3,2004-07-07,3,1,2004-07-08,1,2004,51,51,52,DR Congo (Zaire),490,4,17.1
4616,5226,1,Fatah,207,,Hamas,209,,1991-09-22,1,2006-10-01,1,0,,,2006,36,36,46,Israel,666,2,17.1
4616,5226,1,Fatah,207,,Hamas,209,,1991-09-22,1,2006-10-01,1,1,2007-12-31,1,2007,235,233,254,Israel,666,2,17.1
4617,5227,1,FRCI,558,,FN - IC,605,,2004-01-31,3,2004-06-21,2,1,2004-06-21,2,2004,134,134,150,Ivory Coast,437,4,17.1
