"idno","cntry","country","gender","age","income_feel","income_decile","trust_parl","trust_legalsys","trust_police","trust_politicians","trust_polparties","trust_eurparl","trust_unitednations"
1,"AT","Austria","male",50,2,3,3,7,4,3,3,0,5
2,"AT","Austria","male",66,3,3,7,4,5,3,5,0,3
3,"AT","Austria","female",88,2,2,2,8,8,3,3,2,5
4,"AT","Austria","male",31,2,4,1,8,8,0,1,0,0
5,"AT","Austria","female",55,2,8,0,2,5,0,1,0,2
6,"AT","Austria","female",66,2,5,1,2,8,0,0,2,3
7,"AT","Austria","male",65,2,4,3,6,7,0,0,0,3
13,"AT","Austria","female",66,1,3,4,1,8,4,4,1,7
14,"AT","Austria","female",33,2,3,7,8,7,3,3,6,5
21,"AT","Austria","female",65,2,2,2,5,5,2,2,2,2
22,"AT","Austria","male",60,2,5,2,3,8,3,3,2,2
23,"AT","Austria","female",54,1,7,6,8,8,3,3,3,6
24,"AT","Austria","female",78,2,4,5,5,5,5,5,5,5
25,"AT","Austria","female",37,1,9,3,6,6,2,2,2,2
26,"AT","Austria","male",34,3,3,3,3,7,3,3,2,0
33,"AT","Austria","female",39,1,10,6,7,6,5,5,5,5
34,"AT","Austria","male",42,2,4,2,7,9,2,2,0,0
35,"AT","Austria","female",35,2,7,7,7,8,7,7,8,8
36,"AT","Austria","female",51,1,7,3,6,7,1,1,0,4
37,"AT","Austria","male",26,2,4,6,7,8,6,6,6,6
38,"AT","Austria","female",33,2,6,6,4,8,4,3,5,6
39,"AT","Austria",NA,63,2,9,9,10,10,10,6,7,5
40,"AT","Austria",NA,63,2,10,NA,NA,8,NA,3,NA,NA
45,"AT","Austria","male",49,2,5,4,6,6,2,2,3,6
46,"AT","Austria","female",45,1,4,7,7,7,6,6,7,7
47,"AT","Austria","male",51,2,2,5,8,8,5,5,5,5
48,"AT","Austria","female",17,2,NA,9,7,9,7,7,6,5
49,"AT","Austria","female",15,2,NA,8,7,6,4,5,7,6
50,"AT","Austria","male",51,2,7,4,4,7,3,2,4,4
51,"AT","Austria","male",31,2,4,4,6,6,4,4,4,4
52,"AT","Austria","male",71,2,4,7,7,8,5,5,4,6
57,"AT","Austria","male",68,2,5,3,3,3,3,3,3,3
58,"AT","Austria","female",38,1,10,3,8,6,3,5,7,4
59,"AT","Austria","female",56,1,5,8,9,7,6,5,7,5
65,"AT","Austria","female",53,2,3,9,10,10,4,4,7,9
66,"AT","Austria","female",40,2,2,8,10,10,NA,NA,7,8
67,"AT","Austria","male",37,2,6,8,8,8,5,5,8,8
68,"AT","Austria",NA,34,2,NA,7,8,9,5,5,7,7
77,"AT","Austria","female",25,1,7,7,7,7,6,6,5,4
78,"AT","Austria",NA,35,1,NA,0,4,5,0,0,2,NA
79,"AT","Austria","male",32,2,6,4,8,6,4,4,4,4
80,"AT","Austria","female",56,1,8,5,5,6,4,4,3,5
81,"AT","Austria","male",89,3,1,8,9,9,8,8,8,8
82,"AT","Austria","male",69,2,5,5,8,8,3,3,0,3
89,"AT","Austria","female",39,2,4,6,6,8,4,5,5,7
90,"AT","Austria","male",85,3,2,5,4,7,3,3,NA,6
91,"AT","Austria","male",59,2,4,5,6,8,5,5,4,2
92,"AT","Austria","female",40,1,NA,5,5,7,3,3,3,5
93,"AT","Austria","female",18,2,6,9,10,10,7,8,7,9
94,"AT","Austria",NA,45,1,8,0,2,3,0,1,0,2
95,"AT","Austria","female",39,1,8,7,8,8,4,4,3,8
96,"AT","Austria","male",37,2,5,4,4,6,2,3,3,5
101,"AT","Austria","male",42,2,8,5,7,7,3,3,2,8
102,"AT","Austria","female",34,1,6,5,3,7,2,2,0,4
103,"AT","Austria","female",56,1,9,2,1,3,1,1,1,4
104,"AT","Austria","male",77,1,2,7,9,9,7,7,5,7
105,"AT","Austria","male",43,2,4,7,7,8,5,5,3,5
106,"AT","Austria","female",41,2,5,4,8,9,2,2,1,7
107,"AT","Austria","female",39,4,3,5,3,3,0,0,0,5
108,"AT","Austria","female",16,1,NA,5,4,7,6,6,6,7
109,"AT","Austria","female",38,2,8,6,8,8,4,4,5,5
113,"AT","Austria","male",39,2,5,6,6,6,4,5,5,6
114,"AT","Austria","male",44,2,4,6,7,8,4,5,5,7
115,"AT","Austria","male",31,1,8,6,6,7,5,6,6,6
116,"AT","Austria","female",79,2,1,5,7,8,3,3,4,5
117,"AT","Austria","female",63,1,4,5,6,6,4,5,5,5
118,"AT","Austria","male",52,1,NA,6,6,7,6,6,5,6
119,"AT","Austria","male",38,2,5,6,5,7,4,5,4,6
125,"AT","Austria","female",27,3,1,5,3,5,1,2,NA,NA
126,"AT","Austria","female",46,2,NA,3,3,3,0,0,0,0
127,"AT","Austria","female",40,1,NA,1,5,4,0,0,3,NA
137,"AT","Austria",NA,49,2,5,4,10,10,0,0,0,10
138,"AT","Austria",NA,90,2,1,4,7,8,4,4,NA,NA
139,"AT","Austria","male",70,2,2,1,6,8,4,4,NA,NA
140,"AT","Austria","male",40,2,7,7,10,10,5,4,6,8
141,"AT","Austria","male",77,3,1,4,6,6,4,3,NA,NA
142,"AT","Austria","male",68,2,3,7,8,8,2,2,2,2
143,"AT","Austria","female",43,2,2,5,7,7,3,3,2,6
149,"AT","Austria","female",52,2,2,5,5,5,1,1,0,3
150,"AT","Austria",NA,77,2,2,4,NA,5,0,0,NA,NA
151,"AT","Austria",NA,49,2,5,2,9,9,2,0,0,0
152,"AT","Austria","female",63,2,2,0,0,0,0,0,0,0
153,"AT","Austria","male",45,2,5,2,2,5,0,0,0,5
154,"AT","Austria","female",23,1,6,4,6,8,2,2,6,7
