"idno","gender","age","income_decile","income_feel","ppl_take_advantage","ppl_mostly_helpful","trust_legal","trust_police","trust_politicians","trust_ep","trust_un","trust_polparties","trust_parliament","satisfied_government","satisfied_democracy","satisfied_economy"
27,2,57,4,1,3,4,8,8,6,2,2,4,7,9,7,9
137,1,58,5,1,7,5,7,7,7,7,7,7,7,5,8,8
234,1,63,10,1,7,6,6,8,5,8,7,NA,6,4,7,8
237,1,51,6,2,4,2,1,0,2,3,3,3,2,7,2,8
290,1,46,10,1,9,7,9,9,8,8,9,8,9,8,8,8
301,1,55,6,2,6,4,7,5,2,0,1,2,2,1,1,7
382,1,60,2,2,10,10,8,9,5,3,6,5,3,7,5,7
395,1,19,8,1,4,7,7,8,6,7,8,8,8,8,10,9
419,2,69,3,1,7,7,7,6,6,4,6,5,6,4,6,7
438,2,44,7,2,8,8,8,8,5,NA,8,5,7,3,5,5
496,2,84,3,1,8,4,8,7,4,5,6,3,9,5,4,8
541,2,53,7,2,10,10,7,7,5,4,7,5,9,4,8,10
651,1,68,3,1,8,8,5,6,7,7,8,7,6,5,9,8
687,2,78,1,1,6,5,8,9,7,NA,8,6,6,4,7,6
722,1,33,NA,1,7,4,9,7,8,8,8,7,8,6,8,8
858,2,25,1,3,10,9,6,8,6,7,7,5,8,3,7,6
859,2,48,8,1,5,8,8,8,7,NA,8,6,8,6,7,NA
863,1,37,4,2,8,7,7,6,6,5,7,6,8,7,7,9
912,2,57,6,1,9,8,9,9,8,7,8,8,9,9,10,10
976,1,19,5,2,7,5,8,7,6,3,6,6,8,5,7,7
1263,1,42,10,1,7,7,6,7,5,6,8,6,7,6,7,8
1309,2,21,NA,2,7,6,6,9,4,4,4,9,9,7,10,7
1369,1,53,6,1,8,6,9,8,6,2,7,5,8,4,7,6
1406,1,65,4,2,2,1,4,4,5,4,6,5,4,4,8,4
1473,1,60,8,1,6,6,9,9,2,5,7,2,8,1,2,6
1539,2,17,7,1,10,9,10,10,8,NA,10,9,10,7,10,8
1564,2,65,4,2,7,7,3,7,7,5,7,5,5,8,6,8
1603,2,30,4,2,7,4,9,7,3,7,7,5,7,1,8,7
1620,1,29,7,1,8,5,9,8,5,NA,6,5,6,6,7,9
1636,2,24,2,2,5,5,8,9,7,7,8,7,8,3,8,6
1732,2,35,7,1,7,5,7,8,6,NA,NA,7,7,8,NA,7
1736,2,58,NA,2,10,5,10,8,3,8,8,3,3,1,5,6
1750,2,90,NA,1,8,8,10,10,5,5,5,5,8,3,5,7
1766,2,52,2,2,7,7,8,8,7,7,7,7,8,7,8,8
1775,1,32,6,2,9,8,9,8,8,6,7,7,8,5,8,9
1901,2,24,7,1,5,6,6,7,4,6,6,5,4,7,7,7
1903,2,71,9,1,2,1,5,5,0,0,0,0,0,10,2,5
1942,1,24,1,2,5,9,5,10,4,5,5,4,10,5,5,8
2047,2,22,8,1,5,5,4,4,2,NA,3,2,5,4,4,6
2153,1,55,4,2,9,9,9,9,7,7,9,7,9,5,9,7
2237,1,80,2,1,8,8,9,9,7,10,9,8,9,8,9,7
2266,1,53,5,1,8,8,8,6,6,NA,6,7,8,9,9,9
2423,1,65,8,2,8,8,8,8,7,5,6,7,10,8,9,8
2433,2,39,5,2,7,7,6,6,5,6,8,5,8,5,9,7
2437,1,22,10,1,8,6,9,9,6,8,10,6,8,8,9,10
2470,1,50,8,1,4,8,NA,9,6,NA,9,6,10,8,10,8
2480,1,62,4,1,9,8,7,8,6,NA,5,5,6,6,8,9
2511,2,67,5,2,6,3,8,8,3,0,7,3,7,6,8,7
2588,1,55,9,1,8,7,9,7,5,NA,7,6,9,3,9,10
2606,2,24,NA,1,8,7,9,8,5,6,7,5,8,6,9,7
2645,2,52,8,1,7,7,7,7,4,4,3,7,6,6,7,7
2706,2,50,10,1,6,6,7,7,6,5,6,5,6,8,8,10
2724,2,31,NA,2,5,4,10,8,6,NA,8,6,7,2,5,3
2736,2,30,4,2,5,7,3,3,0,1,5,0,2,5,5,7
2749,1,53,9,1,7,7,7,9,4,NA,6,4,5,5,7,8
2784,2,66,3,1,10,8,7,8,5,NA,NA,5,6,4,6,8
2963,1,22,1,3,7,6,5,5,5,5,6,5,7,5,8,7
2990,1,35,1,4,2,4,10,1,3,9,0,2,10,2,10,1
3112,2,45,9,2,7,5,9,9,4,5,7,5,6,4,6,6
3126,1,63,7,1,8,8,6,8,7,1,5,3,8,10,10,9
3171,2,51,7,1,8,5,8,8,6,9,9,6,9,7,9,9
3182,1,64,4,1,6,4,7,5,2,NA,4,4,3,5,3,3
3256,1,27,1,2,6,3,9,8,3,8,8,3,6,5,7,5
3273,2,28,1,2,8,8,10,10,7,NA,9,6,10,4,8,9
3343,1,56,10,1,7,5,8,7,7,7,8,6,6,8,7,8
3409,2,44,9,1,7,5,8,8,3,7,8,4,8,7,8,9
3469,1,19,NA,1,7,9,9,9,5,NA,9,6,9,NA,10,10
3505,2,65,7,1,6,7,7,6,6,NA,8,6,7,5,8,8
3566,1,40,8,2,10,9,7,9,5,7,9,5,5,5,5,9
3590,1,54,6,2,8,3,4,8,3,0,5,3,3,4,4,7
3648,2,18,NA,NA,8,8,7,7,6,8,10,6,5,7,8,8
3651,2,36,3,2,7,3,7,6,4,4,6,4,4,3,5,3
3667,1,88,2,1,9,3,10,7,3,5,6,3,4,5,6,8
3675,2,75,6,1,9,7,9,8,7,5,8,6,8,3,10,8
3684,1,72,5,1,8,8,8,8,8,7,7,7,8,8,8,9
3688,2,25,6,2,7,4,8,9,6,NA,6,6,7,7,8,8
3730,2,20,5,1,8,7,8,10,8,8,10,7,8,8,9,10
3734,2,49,10,3,9,7,8,10,5,5,10,4,5,6,5,5
3791,2,56,4,2,7,5,8,8,5,5,5,5,7,6,7,6
3838,2,56,6,2,2,4,8,9,3,0,3,3,6,3,5,3
3886,1,23,1,2,7,6,7,10,6,8,8,5,7,7,6,7
3965,1,32,5,2,8,7,8,7,5,6,5,5,6,4,6,7
4075,2,56,6,1,6,5,8,7,5,8,8,5,6,8,7,7
4081,2,46,4,1,9,7,9,10,7,NA,8,7,9,7,7,8
4093,2,68,NA,2,5,6,4,3,2,2,7,2,4,2,3,4
4176,2,33,1,2,5,1,8,8,6,5,7,5,5,2,8,9
4180,1,21,3,2,8,7,10,9,7,9,10,6,9,7,9,9
4227,1,47,9,3,3,3,2,1,1,0,0,0,1,2,0,1
4247,1,NA,NA,NA,6,6,6,8,7,7,7,7,7,4,9,8
4283,1,38,7,2,1,7,9,8,7,7,9,7,7,8,8,9
4320,1,58,8,1,10,10,10,9,7,5,6,9,9,7,10,10
4346,1,33,3,2,5,5,6,7,5,4,7,4,5,4,9,6
4366,2,43,4,3,5,4,4,2,3,3,4,1,3,1,3,2
4450,1,45,4,2,10,9,10,9,5,6,7,6,8,6,8,6
4519,2,62,2,2,8,6,9,10,6,8,7,8,7,7,8,9
4530,1,42,1,1,8,5,8,2,6,7,7,5,7,4,7,7
4565,2,55,8,1,7,6,7,8,3,5,6,4,5,7,9,10
4592,1,47,8,1,8,5,8,8,5,7,8,5,9,7,8,7
4639,1,48,10,1,6,3,3,5,3,5,7,3,6,4,7,8
4761,1,69,4,1,2,4,7,8,4,NA,7,5,6,5,5,7
4774,1,49,4,1,8,7,9,8,7,7,8,8,7,6,8,5
4827,1,40,5,3,10,9,6,8,5,5,7,7,6,4,8,4
4918,2,17,2,2,8,6,7,7,7,6,6,7,7,7,6,7
5009,2,32,10,1,7,5,7,7,8,6,9,8,8,7,9,9
5077,1,27,4,2,7,7,7,7,5,6,7,5,5,3,3,4
5110,1,23,4,2,5,5,3,2,1,NA,6,1,3,1,3,3
5164,2,66,2,1,8,7,9,10,6,6,8,6,5,7,9,6
