country,period,periodstart,periodend,code,bdgdpg,elrgdpg,bdgdp,elrgdp,bdbb,elrbb,bdinfl,elrinfl,bdsacw,elrsacw,bdethnf,elrethnf,bdassas,elrassas,bdicrge,elricrge,bdm21,elrm21,bdssa,elrssa,bddn1900,elrdn1900,bdaid,elraid,bdlpop,elrlpop,bdeasia,elreasia,bdegypt,elregypt,bdcentam,elrcentam,bdfrz,elrfrz,bdarms1,elrarms1,originalcountries,bddatap,bddatao,elrdatabdcos7093bdvarsp,elrdatabdcos7093bdvarso,elrdatabdcos7097bdvarsp,elrdatabdcos7097bdvarso,elrdata7093bdvarsp,elrdata7093bdvarso,elrdata7097bdvarsp,elrdata7097bdvarso
AFG,1,1966,1969,AFG1,NA,-0.01311230007559061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,16.28019905090332,NA,0,NA,0,NA,0,NA,0,NA,0.17648319900035858,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AFG,2,1970,1973,AFG2,NA,-0.5498763918876648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,16.3702392578125,NA,0,NA,0,NA,0,NA,0,NA,0.34457069635391235,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AFG,3,1974,1977,AFG3,NA,2.2371740341186523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,16.472850799560547,NA,0,NA,0,NA,0,NA,0,NA,0.31125760078430176,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AFG,4,1978,1981,AFG4,NA,-1.090675950050354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,16.57387924194336,NA,0,NA,0,NA,0,NA,0,NA,0.24263249337673187,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AFG,5,1982,1985,AFG5,NA,0.8043711185455322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,16.58353042602539,NA,0,NA,0,NA,0,NA,0,NA,0.7556449770927429,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AFG,6,1986,1989,AFG6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,16.631580352783203,NA,0,NA,0,NA,0,NA,0,NA,0.5500726103782654,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AFG,7,1990,1993,AFG7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,16.73921012878418,NA,0,NA,0,NA,0,NA,0,NA,2.461195945739746,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AFG,8,1994,1997,AFG8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,16.925540924072266,NA,0,NA,0,NA,0,NA,0,NA,1.6853300333023071,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AGO,1,1966,1969,AGO1,NA,NA,1066,1066,NA,NA,NA,NA,0,NA,NA,0.7799999713897705,NA,NA,NA,4.6066670417785645,NA,NA,0,1,0,0,NA,NA,NA,15.496399879455566,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AGO,2,1970,1973,AGO2,NA,NA,1165,1165,NA,NA,NA,NA,0,NA,NA,0.7799999713897705,NA,NA,NA,4.6066670417785645,NA,NA,0,1,0,0,0.0045600999146699905,-0.3850964903831482,NA,15.564539909362793,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AGO,3,1974,1977,AGO3,NA,NA,1110,1110,NA,NA,NA,NA,0,0,NA,0.7799999713897705,NA,0,NA,4.6066670417785645,NA,NA,0,1,0,0,0.46281570196151733,0.21202300488948822,NA,15.65015983581543,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AGO,4,1978,1981,AGO4,NA,-9.372767448425293,663,663,NA,NA,NA,NA,0,0,NA,0.7799999713897705,NA,0,NA,4.6066670417785645,NA,NA,0,1,0,0,1.0761909484863281,0.8055546879768372,NA,15.756030082702637,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AGO,5,1982,1985,AGO5,NA,-0.0266571007668972,679,679,NA,NA,NA,NA,0,0,NA,0.7799999713897705,NA,0,NA,4.6066670417785645,NA,NA,0,1,0,0,1.3624769449234009,0.9089071750640869,NA,15.889289855957031,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AGO,6,1986,1989,AGO6,1.2246439456939697,1.2892600297927856,709,709,NA,NA,NA,NA,0,0,NA,0.7799999713897705,NA,0,NA,4.6066670417785645,NA,NA,0,1,0,0,1.9922540187835693,1.4105119705200195,NA,16.016450881958008,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AGO,7,1990,1993,AGO7,-9.998563766479492,-9.90323543548584,NA,699.1251220703125,NA,NA,NA,1.5619360208511353,0,0,NA,0.7799999713897705,NA,0,NA,4.6066670417785645,NA,NA,0,1,0,0,3.6628639698028564,2.618582010269165,NA,16.127849578857422,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AGO,8,1994,1997,AGO8,NA,3.7454280853271484,NA,516.06988525390625,NA,NA,NA,2.6453239917755127,NA,NA,NA,0.7799999713897705,NA,0,NA,4.6066670417785645,NA,NA,NA,1,NA,0,NA,3.929166078567505,NA,16.258670806884766,NA,0,NA,0,NA,0,NA,0,NA,0.6853253841400146,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
ALB,1,1966,1969,ALB1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,6.366666793823242,NA,NA,0,0,0,NA,NA,NA,NA,14.505430221557617,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
ALB,2,1970,1973,ALB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,6.366666793823242,NA,NA,0,0,0,NA,NA,NA,NA,14.61061954498291,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
ALB,3,1974,1977,ALB3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,6.366666793823242,NA,NA,0,0,0,NA,NA,NA,NA,14.702589988708496,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
ALB,4,1978,1981,ALB4,3.453839063644409,3.7079288959503174,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,6.366666793823242,NA,NA,0,0,0,NA,NA,NA,NA,14.787449836730957,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
ALB,5,1982,1985,ALB5,-0.9196454286575317,-0.8878698945045471,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,6.366666793823242,NA,NA,0,0,0,NA,NA,NA,NA,14.868860244750977,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
ALB,6,1986,1989,ALB6,1.0669469833374023,1.0083099603652954,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,6.366666793823242,NA,NA,0,0,0,NA,NA,NA,NA,14.95203971862793,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
ALB,7,1990,1993,ALB7,-11.701189994812012,-8.350223541259766,NA,NA,NA,NA,0.898410975933075,0.8984770774841309,NA,0.5,NA,NA,NA,0,NA,6.366666793823242,NA,NA,0,0,0,NA,NA,NA,NA,14.98373031616211,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
ALB,8,1994,1997,ALB8,NA,3.8688700199127197,NA,NA,NA,-0.11109109967947006,NA,0.17120899260044098,NA,1,NA,NA,NA,0.5,NA,6.366666793823242,NA,NA,NA,0,NA,NA,NA,NA,NA,15.004340171813965,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,3.2470149993896484,NA,2.5968410968780518,NA,2.732882022857666,NA,2.052093982696533,NA
ARE,1,1966,1969,ARE1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3666670322418213,NA,NA,0,0,0,NA,NA,NA,NA,11.950469970703125,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
ARE,2,1970,1973,ARE2,NA,NA,NA,NA,0.0026227999478578568,0.0028011000249534845,NA,NA,NA,NA,NA,NA,NA,0.5,NA,3.3666670322418213,NA,NA,0,0,0,NA,NA,NA,NA,12.528260231018066,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
ARE,3,1974,1977,ARE3,-2.629913091659546,-3.674846887588501,NA,NA,0.00634570000693202,0.0063507999293506145,NA,NA,NA,NA,NA,NA,NA,0,NA,3.3666670322418213,NA,NA,0,0,0,NA,NA,NA,NA,13.21798038482666,0,0,NA,0,NA,0,NA,0,NA,0.020623700693249702,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
ARE,4,1978,1981,ARE4,0.06386110186576843,1.381816029548645,NA,NA,0.008661399595439434,0.00866360031068325,NA,NA,NA,NA,NA,NA,NA,0,NA,3.3666670322418213,NA,20.74173927307129,0,0,0,NA,NA,NA,NA,13.798150062561035,0,0,NA,0,NA,0,NA,0,NA,0.024045299738645554,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
ARE,5,1982,1985,ARE5,-10.251489639282227,-8.34111213684082,24322,24322,NA,-0.004929699935019016,NA,NA,NA,NA,NA,NA,NA,0,NA,3.3666670322418213,NA,22.668880462646484,0,0,0,NA,NA,NA,NA,14.080780029296875,0,0,NA,0,NA,0,NA,0,NA,0.018790099769830704,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
