"rep_id","sesjon","parti_id","ant_taler","gj_ant_ord","alder","kjonn","talers_rolle","liste_nummer_valg"
"AAMH","2001-2002","Sp",98,236.530612244898,43,"kvinne","stortingsrepresentant",14
"AAMH","2002-2003","Sp",84,293.464285714286,44,"kvinne","stortingsrepresentant",14
"AAMH","2003-2004","Sp",87,340.126436781609,45,"kvinne","stortingsrepresentant",14
"AAMH","2004-2005","Sp",70,316.542857142857,46,"kvinne","stortingsrepresentant",14
"AAMH","2005-2006","Sp",91,274.824175824176,47,"kvinne","regjering",16
"AAMH","2006-2007","Sp",80,191.4,48,"kvinne","regjering",16
"AAMH","2007-2008","Sp",152,261.993421052632,49,"kvinne","regjering",16
"AAMH","2008-2009","Sp",16,536.125,50,"kvinne","stortingsrepresentant",16
"AAS","1998-1999","KrF",37,287.621621621622,48,"kvinne","stortingsrepresentant",7
"AAS","1999-2000","KrF",33,324.272727272727,48,"kvinne","stortingsrepresentant",7
"AAS","2000-2001","KrF",52,304.865384615385,49,"kvinne","stortingsrepresentant",7
"AAS","2001-2002","KrF",49,313.734693877551,51,"kvinne","stortingsrepresentant",9
"AAS","2002-2003","KrF",30,289.966666666667,52,"kvinne","stortingsrepresentant",9
"AAS","2003-2004","KrF",39,367.717948717949,53,"kvinne","stortingsrepresentant",9
"AAS","2004-2005","KrF",17,400.529411764706,54,"kvinne","stortingsrepresentant",9
"AAST","2005-2006","A",13,433.153846153846,28,"mann","stortingsrepresentant",1
"AAST","2006-2007","A",12,523,29,"mann","stortingsrepresentant",1
"AAST","2007-2008","A",6,588.666666666667,30,"mann","stortingsrepresentant",1
"AAST","2008-2009","A",18,359.611111111111,31,"mann","stortingsrepresentant",1
"AAST","2009-2010","A",15,512.533333333333,32,"mann","stortingsrepresentant",2
"AAST","2010-2011","A",33,507.909090909091,33,"mann","stortingsrepresentant",2
"AAST","2011-2012","A",23,420.260869565217,34,"mann","stortingsrepresentant",2
"AAST","2012-2013","A",40,405.65,35,"mann","stortingsrepresentant",2
"AAST","2013-2014","A",65,225.430769230769,36,"mann","stortingsrepresentant",2
"AAST","2014-2015","A",57,304.087719298246,37,"mann","stortingsrepresentant",2
"AAST","2015-2016","A",41,341.609756097561,38,"mann","stortingsrepresentant",2
"AAUK","2013-2014","A",20,387.45,29,"mann","stortingsrepresentant",11
"AAUK","2014-2015","A",54,381.185185185185,30,"mann","stortingsrepresentant",11
"AAUK","2015-2016","A",30,325.233333333333,31,"mann","stortingsrepresentant",11
"ABA","2001-2002","H",11,406.090909090909,51,"kvinne","stortingsrepresentant",5
"ABA","2002-2003","H",26,254.846153846154,52,"kvinne","stortingsrepresentant",5
"ABA","2003-2004","H",16,350.625,53,"kvinne","stortingsrepresentant",5
"ABA","2004-2005","H",8,351.875,53,"kvinne","stortingsrepresentant",5
"ABIR","2009-2010","V",52,304.634615384615,34,"mann","stortingsrepresentant",1
"ABIR","2010-2011","V",44,339.204545454545,36,"mann","stortingsrepresentant",1
"ABIR","2011-2012","V",27,381.518518518519,36,"mann","stortingsrepresentant",1
"ABIR","2013-2014","V",111,322.099099099099,39,"mann","stortingsrepresentant",10
"ABIR","2014-2015","V",95,373.073684210526,40,"mann","stortingsrepresentant",10
"ABIR","2015-2016","V",19,223.789473684211,40,"mann","stortingsrepresentant",10
"ABS","1998-1999","KrF",21,232.047619047619,52,"kvinne","stortingsrepresentant",5
"ABS","1999-2000","KrF",21,361.52380952381,53,"kvinne","stortingsrepresentant",5
"ABS","2000-2001","KrF",16,278.5,54,"kvinne","stortingsrepresentant",5
"AD","1998-1999","A",50,248.06,60,"kvinne","stortingsrepresentant",1
"AD","1999-2000","A",32,233.4375,61,"kvinne","stortingsrepresentant",1
"ADA","2001-2002","H",15,509.666666666667,27,"mann","stortingsrepresentant",1
"ADA","2002-2003","H",16,720.5,28,"mann","stortingsrepresentant",1
"ADA","2003-2004","H",16,667.4375,29,"mann","stortingsrepresentant",1
"ADA","2004-2005","H",14,469.071428571429,30,"mann","stortingsrepresentant",1
"ADA","2005-2006","H",29,244.034482758621,31,"mann","stortingsrepresentant",15
"ADA","2006-2007","H",48,440.4375,32,"mann","stortingsrepresentant",15
"ADA","2007-2008","H",41,425.609756097561,33,"mann","stortingsrepresentant",15
"ADA","2008-2009","H",20,420.15,34,"mann","stortingsrepresentant",15
"ADA","2009-2010","H",77,361.25974025974,35,"mann","stortingsrepresentant",15
"ADA","2010-2011","H",62,388.451612903226,36,"mann","stortingsrepresentant",15
"ADA","2011-2012","H",71,476.718309859155,37,"mann","stortingsrepresentant",15
"ADA","2012-2013","H",82,420.09756097561,38,"mann","stortingsrepresentant",15
"ADV","1998-1999","KrF",17,438.176470588235,55,"kvinne","stortingsrepresentant",2
"ADV","1999-2000","KrF",9,529.555555555556,56,"kvinne","stortingsrepresentant",2
"ADV","2000-2001","KrF",34,349.5,57,"kvinne","stortingsrepresentant",2
"ADV","2001-2002","KrF",20,353.35,58,"kvinne","stortingsrepresentant",2
"ADV","2002-2003","KrF",23,429.608695652174,59,"kvinne","stortingsrepresentant",2
"ADV","2003-2004","KrF",12,596.916666666667,60,"kvinne","stortingsrepresentant",2
"ADV","2004-2005","KrF",21,449.095238095238,61,"kvinne","stortingsrepresentant",2
"ADV","2005-2006","KrF",47,279.510638297872,62,"kvinne","stortingsrepresentant",4
"ADV","2006-2007","KrF",54,267.722222222222,63,"kvinne","stortingsrepresentant",4
"ADV","2007-2008","KrF",50,318.38,64,"kvinne","stortingsrepresentant",4
"ADV","2008-2009","KrF",46,297.630434782609,65,"kvinne","stortingsrepresentant",4
"AEL","1998-1999","Sp",130,275.969230769231,50,"kvinne","regjering",14
"AEL","1999-2000","Sp",14,360.857142857143,51,"kvinne","stortingsrepresentant",14
"AEL","2000-2001","Sp",47,337.36170212766,51,"kvinne","stortingsrepresentant",14
"AESO","2001-2002","FrP",77,287.844155844156,55,"mann","stortingsrepresentant",3
"AESO","2002-2003","FrP",93,191.537634408602,56,"mann","stortingsrepresentant",3
"AESO","2003-2004","FrP",117,207.435897435897,57,"mann","stortingsrepresentant",3
"AESO","2004-2005","FrP",110,226.936363636364,58,"mann","stortingsrepresentant",3
"AESO","2005-2006","FrP",73,209.383561643836,59,"mann","stortingsrepresentant",2
"AESO","2006-2007","FrP",107,257.345794392523,60,"mann","stortingsrepresentant",2
"AESO","2007-2008","FrP",141,221.312056737589,61,"mann","stortingsrepresentant",2
"AESO","2008-2009","FrP",127,233.700787401575,62,"mann","stortingsrepresentant",2
"AESO","2009-2010","FrP",128,250.1328125,63,"mann","stortingsrepresentant",2
"AESO","2010-2011","FrP",123,271.512195121951,64,"mann","stortingsrepresentant",2
"AESO","2011-2012","FrP",96,236.197916666667,65,"mann","stortingsrepresentant",2
"AESO","2012-2013","FrP",87,250.885057471264,66,"mann","stortingsrepresentant",2
"AG","1998-1999","H",81,402.469135802469,44,"mann","stortingsrepresentant",4
"AG","1999-2000","H",71,379.12676056338,45,"mann","stortingsrepresentant",4
"AG","2000-2001","H",83,367.168674698795,46,"mann","stortingsrepresentant",4
"AG","2001-2002","H",85,354.905882352941,47,"mann","regjering",2
"AG","2002-2003","H",154,278.525974025974,48,"mann","regjering",2
"AG","2003-2004","H",122,263.344262295082,49,"mann","regjering",2
"AG","2004-2005","H",226,308.159292035398,50,"mann","regjering",2
"AGES","2005-2006","FrP",17,281.588235294118,60,"mann","stortingsrepresentant",3
"AGES","2006-2007","FrP",27,289.222222222222,61,"mann","stortingsrepresentant",3
"AGES","2007-2008","FrP",22,286.136363636364,62,"mann","stortingsrepresentant",3
"AGES","2008-2009","FrP",17,303,63,"mann","stortingsrepresentant",3
"AGES","2009-2010","FrP",9,301.333333333333,64,"mann","stortingsrepresentant",3
"AGES","2010-2011","FrP",34,235.205882352941,65,"mann","stortingsrepresentant",3
"AGES","2011-2012","FrP",26,256.5,66,"mann","stortingsrepresentant",3
"AGES","2012-2013","FrP",23,325.782608695652,67,"mann","stortingsrepresentant",3
"AGV","1998-1999","SV",110,246.190909090909,54,"kvinne","stortingsrepresentant",13
"AGV","1999-2000","SV",57,317.964912280702,55,"kvinne","stortingsrepresentant",13
"AGV","2000-2001","SV",94,264.074468085106,56,"kvinne","stortingsrepresentant",13
"AGV","2001-2002","SV",43,302.046511627907,57,"kvinne","stortingsrepresentant",5
"AGV","2002-2003","SV",19,518.157894736842,58,"kvinne","stortingsrepresentant",5
"AGV","2003-2004","SV",39,478.128205128205,59,"kvinne","stortingsrepresentant",5
"AGV","2004-2005","SV",49,391.938775510204,60,"kvinne","stortingsrepresentant",5
"AGV","2005-2006","SV",39,496.025641025641,61,"kvinne","stortingsrepresentant",9
"AGV","2006-2007","SV",32,512.15625,62,"kvinne","stortingsrepresentant",9
"AGV","2007-2008","SV",37,483,63,"kvinne","stortingsrepresentant",9
"AGV","2008-2009","SV",27,592.074074074074,64,"kvinne","stortingsrepresentant",9
"AIS","2005-2006","Sp",36,356.416666666667,65,"mann","stortingsrepresentant",7
"AIS","2006-2007","Sp",38,493.289473684211,65,"mann","stortingsrepresentant",7
"AIS","2007-2008","Sp",49,363.795918367347,66,"mann","stortingsrepresentant",7
"AIS","2008-2009","Sp",32,331.40625,67,"mann","stortingsrepresentant",7
"AK","1998-1999","FrP",9,325.444444444444,28,"mann","stortingsrepresentant",1
"AK","1999-2000","FrP",9,425.888888888889,29,"mann","stortingsrepresentant",1
"AK","2000-2001","FrP",5,192,29,"mann","stortingsrepresentant",1
"AK","2001-2002","FrP",31,274.129032258065,31,"mann","stortingsrepresentant",9
"AK","2002-2003","FrP",13,356.307692307692,31,"mann","stortingsrepresentant",9
"AK","2003-2004","FrP",18,171.166666666667,33,"mann","stortingsrepresentant",9
"AK","2004-2005","FrP",10,374.4,33,"mann","stortingsrepresentant",9
"ÅKO","2001-2002","H",5,440.4,48,"mann","stortingsrepresentant",2
"ÅKO","2002-2003","H",9,371.555555555556,49,"mann","stortingsrepresentant",2
"ÅKO","2003-2004","H",7,407.428571428571,50,"mann","stortingsrepresentant",2
"ÅKO","2004-2005","H",2,311.5,50,"mann","stortingsrepresentant",2
"AKSH","2009-2010","SV",54,390.203703703704,57,"mann","stortingsrepresentant",7
"AKSH","2010-2011","SV",57,478.824561403509,58,"mann","stortingsrepresentant",7
"AKSH","2011-2012","SV",75,393.146666666667,59,"mann","stortingsrepresentant",7
"AKSH","2012-2013","SV",87,367.793103448276,60,"mann","stortingsrepresentant",7
"AL","1998-1999","KrF",36,326.083333333333,37,"mann","stortingsrepresentant",4
"AL","1999-2000","KrF",47,289.787234042553,38,"mann","stortingsrepresentant",4
"AL","2000-2001","KrF",66,280.69696969697,39,"mann","stortingsrepresentant",4
"AL","2001-2002","KrF",32,342.09375,40,"mann","stortingsrepresentant",6
"AL","2002-2003","KrF",23,329.478260869565,41,"mann","stortingsrepresentant",6
