"respondent_id","steak_prep","hhold_income","age","smoke","alcohol"
3237565956,NA,NA,NA,NA,NA
3234982343,"Medium rare",78426,75,0,1
3234973379,"Rare",159371,72,0,1
3234972383,"Medium",76944,72,1,1
3234958833,"Medium",88376,62,0,1
3234955240,"Medium rare",16834,23,0,0
3234955097,NA,151883,83,0,1
3234955010,"Medium rare",48813,21,0,1
3234953052,"Medium",82357,19,1,1
3234951249,"Medium rare",40346,63,0,1
3234948883,"Medium rare",75576,63,0,1
3234948197,"Medium rare",87744,26,0,0
3234947477,"Medium",60960,27,0,1
3234946739,"Rare",69183,27,1,1
3234945250,"Medium Well",86158,87,0,1
3234944270,"Medium Well",42655,26,0,1
3234941615,"Medium",78626,19,0,1
3234940805,NA,21820,26,0,1
3234939289,"Medium rare",87655,24,0,1
3234938004,NA,172340,27,1,1
3234937720,"Medium rare",88787,30,0,0
3234937709,"Medium rare",30145,18,0,1
3234937003,"Medium Well",NA,NA,1,1
3234936804,"Medium rare",48416,73,0,0
3234936220,"Medium rare",17800,53,0,0
3234935763,"Medium Well",91635,19,1,1
3234935254,"Medium",48698,52,0,1
3234932801,"Medium rare",65990,60,1,1
3234931630,"Medium",43735,90,0,1
3234930461,"Medium",7057,29,0,0
3234929351,"Medium",93798,48,1,1
3234929241,NA,NA,NA,0,1
3234928903,NA,NA,41,1,1
3234928702,"Medium",72892,31,0,1
3234928649,"Medium rare",NA,72,0,0
3234928339,"Medium",NA,27,0,1
3234927960,"Well",35582,20,0,1
3234927933,NA,3006,57,0,1
3234926887,"Medium",61033,42,0,0
3234925465,"Medium",NA,42,1,1
3234925077,NA,NA,NA,0,1
3234924769,"Medium",125203,44,0,1
3234924367,NA,NA,NA,0,1
3234924090,"Medium",63365,56,0,1
3234923731,NA,24172,52,0,0
3234923656,"Medium",68629,42,0,1
3234922597,"Medium rare",21949,85,0,1
3234922412,"Medium",117027,68,0,1
3234922346,"Medium Well",75176,49,0,1
3234921417,"Medium",62838,39,1,1
3234921008,NA,43081,34,0,1
3234919737,NA,64943,20,0,1
